timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2022/11/19 11:02:20.995, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 92 %, 48 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:21.997, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 37 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:22.999, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:24.001, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 40 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:25.003, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 98 %, 41 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:26.006, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 80 %, 43 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:27.008, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 37 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:28.026, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:29.028, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:30.031, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 98 %, 40 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:31.034, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 80 %, 42 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:32.036, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 37 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:33.038, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 37 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:34.040, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:35.044, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 98 %, 40 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:36.046, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 80 %, 42 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:37.047, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 37 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:38.051, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 84 %, 32 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:39.053, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 40 %, 15360 MiB, 4308 MiB, 10601 MiB
